"","Strefy cenowe",""
"(przynależność krajów i terytoriów do odpowiednich stref)","",""
"Lp.","Nazwa kraju lub terytorium przeznaczenia przesyłek EMS","Strefa"
"1","2","3"
"01","Afryka Południowa Republika","Patrz: Republika Południowej Afryki (RPA)"
"02","Albania","A"
"03","Algieria","B"
"04","Andora","Patrz: Francja z Andorą i Monako"
"05","Anguilla","C"
"06","Arabia Saudyjska","C"
"07","Argentyna","C"
"08","Armenia","C"
"09","Aruba","C"
"10","Australia","D"
"11","Austria","A"
"12","Azerbejdżan","C"
"13","Bahamy","C"
"14","Bahrajn","C"
"15","Bangladesz","C"
"16","Barbados","C"
"17","Belgia","A"
"18","Benin (ex Dahomej)","B"
"19","Bermudy","B"
"20","Bhutan","C"
"21","Białoruś","A"
"22","Boliwia","C"
"23","Botswana","E"
"24","Brazylia","C"
"25","Brunei (Brunei Darussalam)","C"
"26","Bułgaria","A"
"27","Burkina Faso","B"
"28","Chile","C"
"29..","Chińska  Republika  Ludowa,  z  wyjątkiem specjalnego   regionu   administracyjnego Hongkongu i Makau (Macao)","C"
"","Hongkong specjalny region administracyjny","C"
"","Makau (Macao)","C"
"30","Chorwacja","A"
"31","Curaçao","C"
"32","Cypr","A"
"33","Czad","B"
"34","Czarnogóra","A"
"35","Czechy","A***"
"36","Dania","A"
"","Grenlandia","B"
"","Wyspy Owcze","A"
"37","Dominikana","E"
"38","Dżibuti","B"
"39","Egipt","B"
"40","Ekwador","C"
"41","Estonia","A"
"42","Etiopia","B"
"43","Fidżi","E"
"44","Filipiny","C"
"45","Finlandia","A"
"46","Francja z Andorą i Monako","A"
"47","Gabon","E"
"48","Gambia","B"
"49","Ghana","B"
"50","Gibraltar","A"
"51","Grecja","A"
"52","Grenada","E"
"53","Gruzja","C"
"54","Guernsey (Wyspa)","A"
"55","Gujana","C"
"56","Gujana Francuska","C"
"57","Gwadelupa","C"
"58","Gwatemala","E"
"59","Gwinea","B"
"60","Hiszpania i Wyspy Kanaryjskie","A"
"61","Holandia","A"
"62","Honduras","E"
"63","Hongkong","Patrz: Chińska Republika Ludowa"
"64","Indie","C"
"65","Indonezja","C"
"66","Irak","C"
"67","Iran","C"
"68","Irlandia (Eire)","A"
"69","Islandia","A"
"70","Izrael","A"
"71","Jamajka","E"
"72","Japonia","C"
"73","Jersey","A"
"74","Jordania","C"
"75","Kajmany","C"
"76","Kamerun","E"
"77","Kanada","B"
"78","Katar","C"
"79","Kazachstan","C"
"80","Kenia","B"
"81","Kirgistan","C"
"82","Kolumbia","C"
"83","Kongo Republika Demokratyczna (d.","B"
"84","Korea Południowa (Republika)","C"
"85","Kostaryka","E"
"86","Kuba","C"
"87","Kuwejt","C"
"88","Lesotho","E"
"89","Liechtenstein","Patrz: Szwajcaria z Liechtensteinem"
"90","Litwa","A"
"91","Luksemburg","A"
"92","Łotwa","A"
"93","Macedonia","A"
"94","Madagaskar","E"
"95","Majotta (Wyspa)","B"
"96","Makau (Macao)","Patrz: Chińska Republika Ludowa"
"97","Malawi","B"
"98","Malediwy","C"
"99","Malezja","C"
"100","Mali","B"
"101","Malta","A"
"102","Maroko","B"
"103","Martynika","C"
"104","Mauretania","E"
"105","Mauritius","B"
"106","Meksyk","B"
"107","Mołdawia (Mołdowa)","A"
"108","Monako","Patrz: Francja z Andorą i Monako"
"109","Mozambik","E"
"110","Namibia","E"
"111","Niemcy","A"
"112","Niger","B"
"113","Nigeria","B"
"114","Nikaragua","E"
"115","Norwegia","A"
"116","Nowa Kaledonia","E"
"117","Nowa Zelandia","D"
"118","Oman","C"
"119","Pakistan","C"
"120","Panama","C"
"121","Papua - Nowa Gwinea","E"
"122","Paragwaj","E"
"123","Peru","C"
"124","Portugalia z Azorami i Maderą","A"
"125","Republika Południowej Afryki (RPA)","B"
"126","Republika Środkowoafrykańska (Centrafrique)","B"
"127","Reunion","E"
"128","Rosja","A"
"129","Rumunia","A"
"130","Salomona Wyspy","D"
"131","Salwador","E"
"132","San Marino","Patrz: Włochy z San Marino"
"133","Senegal","B"
"134","Serbia","A"
"135","Seszele","B"
"136","Singapur","C"
"137","Słowacja","A***"
"138","Słowenia","A"
"139","Sri Lanka","C"
"140","Stany Zjednoczone Ameryki (USA)","B"
"141","Suazi (Swaziland)","B"
"142","Sudan","E"
"143","Surinam","E"
"144","Syria","C"
"145","Szwajcaria z Liechtensteinem","A"
